FAAR;REGM    ;RKAL  ;FM;FD;DBNR  ;TUR;AM;AD;AH  ;LM;LD;LH  ;RE; MA;HA;   VAR;OMRA   ;OKSO;HO;LO;   LENG;BTON;TENH;HEST;FISK;       VEKT
2019;N 0020MS;3YCU  ;03;20;      ;   ;  ;  ;    ;  ;  ;    ;61;140;01;  1.42;IIa    ;NOR;05;09;   36.5; 490;    ;1000;1027;         60
2019;N 0020MS;3YCU  ;03;20;      ;   ;  ;  ;    ;  ;  ;    ;61;140;01;  1.42;IIa    ;NOR;05;09;   36.5; 490;    ;1000;1032;        120
2019;N 0020MS;3YCU  ;03;21;      ;   ;  ;  ;    ;  ;  ;    ;61;140;04;  5.28;IIa    ;NOR;05;15;   36.5; 490;    ;1000;    ;          0
2019;N 0020MS;3YCU  ;03;21;      ;   ;  ;  ;    ;  ;  ;    ;61;140;04;  5.28;IIa    ;NOR;05;15;   36.5; 490;    ;1000;1022;      25500
2019;N 0020MS;3YCU  ;03;21;      ;   ;  ;  ;    ;  ;  ;    ;61;140;04;  5.28;IIa    ;NOR;05;15;   36.5; 490;    ;1000;1027;        250
2019;N 0020MS;3YCU  ;03;21;      ;   ;  ;  ;    ;  ;  ;    ;61;140;04;  5.28;IIa    ;NOR;05;15;   36.5; 490;    ;1000;1032;         50
2019;N 0020MS;3YCU  ;03;22;      ;   ;  ;  ;    ;  ;  ;    ;61;140;03;  3.73;IIa    ;NOR;05;15;   36.5; 490;    ;1000;1022;      23600
2019;N 0020MS;3YCU  ;03;22;      ;   ;  ;  ;    ;  ;  ;    ;61;140;03;  3.73;IIa    ;NOR;05;15;   36.5; 490;    ;1000;1027;        180
2019;N 0020MS;3YCU  ;03;22;      ;   ;  ;  ;    ;  ;  ;    ;61;140;03;  3.73;IIa    ;NOR;05;15;   36.5; 490;    ;1000;1032;         30
2019;N 0020MS;3YCU  ;03;24;      ;   ;  ;  ;    ;  ;  ;    ;61;140;02;  2.53;IIa    ;NOR;05;15;   36.5; 490;    ;1000;1022;      28300
2019;N 0020MS;3YCU  ;03;24;      ;   ;  ;  ;    ;  ;  ;    ;61;140;02;  2.53;IIa    ;NOR;05;15;   36.5; 490;    ;1000;1032;        190
2019;N 0020MS;3YCU  ;03;24;      ;   ;  ;  ;    ;  ;  ;    ;61;140;02;  2.53;IIa    ;NOR;05;15;   36.5; 490;    ;1000;1027;         10
2019;N 0020MS;3YCU  ;03;25;      ;   ;  ;  ;    ;  ;  ;    ;61;140;03;   4.6;IIa    ;NOR;05;15;   36.5; 490;    ;1000;1022;      41700
2019;N 0020MS;3YCU  ;03;25;      ;   ;  ;  ;    ;  ;  ;    ;61;140;03;   4.6;IIa    ;NOR;05;15;   36.5; 490;    ;1000;1032;        300
